# Seed: 413563856
# Pattern: 3x3
# Search radius: 1000000
# chunkX,chunkZ,blockX,blockZ,distance
-111922,4763,-1790752,76208,111922
112152,-95358,1794432,-1525728,112152
-112434,-11911,-1798944,-190576,112434
102805,113893,1644880,1822288,113893
113952,88666,1823232,1418656,113952
-113964,31235,-1823424,499760,113964
63471,114940,1015536,1839040,114940
115708,-8565,1851328,-137040,115708
-116390,-66121,-1862240,-1057936,116390
116700,101868,1867200,1629888,116700
-116909,-26628,-1870544,-426048,116909
-24963,-118052,-399408,-1888832,118052
118539,16908,1896624,270528,118539
-119067,67089,-1905072,1073424,119067
119813,-118832,1917008,-1901312,119813
-120442,78590,-1927072,1257440,120442
-15999,120456,-255984,1927296,120456
-120990,-23309,-1935840,-372944,120990
-121424,-117992,-1942784,-1887872,121424
-121760,-31751,-1948160,-508016,121760
122136,-10325,1954176,-165200,122136
-122936,-102676,-1966976,-1642816,122936
-124698,-58075,-1995168,-929200,124698
125347,-20301,2005552,-324816,125347
-126264,93730,-2020224,1499680,126264
-127152,113594,-2034432,1817504,127152
-80617,-127443,-1289872,-2039088,127443
127962,8379,2047392,134064,127962
128875,-60504,2062000,-968064,128875
129265,65535,2068240,1048560,129265
27761,131190,444176,2099040,131190
-133756,-70190,-2140096,-1123040,133756
-134247,111915,-2147952,1790640,134247
134511,24454,2152176,391264,134511
3092,-135731,49472,-2171696,135731
-136469,-34196,-2183504,-547136,136469
136500,125013,2184000,2000208,136500
-49638,137409,-794208,2198544,137409
-137882,8581,-2206112,137296,137882
59595,-138100,953520,-2209600,138100
80360,138105,1285760,2209680,138105
-131205,-138292,-2099280,-2212672,138292
-101934,-138420,-1630944,-2214720,138420
138517,101242,2216272,1619872,138517
33916,138685,542656,2218960,138685
49342,-138874,789472,-2221984,138874
-115333,139351,-1845328,2229616,139351
-139581,-111075,-2233296,-1777200,139581
-123551,139651,-1976816,2234416,139651
72264,139895,1156224,2238320,139895
-140206,94600,-2243296,1513600,140206
-140461,7594,-2247376,121504,140461
14324,140610,229184,2249760,140610
-141017,80537,-2256272,1288592,141017
-141029,-109963,-2256464,-1759408,141029
141436,1930,2262976,30880,141436
141736,76376,2267776,1222016,141736
141799,-18836,2268784,-301376,141799
142263,-65921,2276208,-1054736,142263
143668,-9550,2298688,-152800,143668
93799,-143818,1500784,-2301088,143818
115655,144873,1850480,2317968,144873
-88698,145520,-1419168,2328320,145520
-65172,145821,-1042752,2333136,145821
27453,-146711,439248,-2347376,146711
-147173,82493,-2354768,1319888,147173
120866,148102,1933856,2369632,148102
-148261,111754,-2372176,1788064,148261
89442,148810,1431072,2380960,148810
149394,-32884,2390304,-526144,149394
149558,54584,2392928,873344,149558
5635,149582,90160,2393312,149582
-149754,95760,-2396064,1532160,149754
150470,139835,2407520,2237360,150470
151803,-140504,2428848,-2248064,151803
152239,118628,2435824,1898048,152239
152288,41073,2436608,657168,152288
-18222,152351,-291552,2437616,152351
-153028,-11681,-2448448,-186896,153028
153479,10036,2455664,160576,153479
141976,153730,2271616,2459680,153730
154208,-1930,2467328,-30880,154208
40436,154476,646976,2471616,154476
-154800,-26400,-2476800,-422400,154800
30593,-156016,489488,-2496256,156016
-157150,44618,-2514400,713888,157150
157463,-132669,2519408,-2122704,157463
117655,-157464,1882480,-2519424,157464
-53399,-158636,-854384,-2538176,158636
-159532,-84237,-2552512,-1347792,159532
-92322,159578,-1477152,2553248,159578
147100,-159728,2353600,-2555648,159728
33372,-159890,533952,-2558240,159890
-160584,36666,-2569344,586656,160584
58599,160862,937584,2573792,160862
-83012,160957,-1328192,2575312,160957
-64647,-161187,-1034352,-2578992,161187
161369,-116209,2581904,-1859344,161369
-161538,126443,-2584608,2023088,161538
-162025,-72906,-2592400,-1166496,162025
163187,104113,2610992,1665808,163187
79539,-163190,1272624,-2611040,163190
-143756,163191,-2300096,2611056,163191
163661,161439,2618576,2583024,163661
-84018,-163835,-1344288,-2621360,163835
68549,-164427,1096784,-2630832,164427
-100088,-164559,-1601408,-2632944,164559
-33380,164944,-534080,2639104,164944
106990,165126,1711840,2642016,165126
97892,-165527,1566272,-2648432,165527
140986,-165702,2255776,-2651232,165702
40704,166952,651264,2671232,166952
-167164,22408,-2674624,358528,167164
167398,-73302,2678368,-1172832,167398
154212,-168604,2467392,-2697664,168604
108352,-168908,1733632,-2702528,168908
169018,-163652,2704288,-2618432,169018
-169525,82225,-2712400,1315600,169525
-171555,-151062,-2744880,-2416992,171555
-23689,172291,-379024,2756656,172291
56112,-172392,897792,-2758272,172392
99336,-172488,1589376,-2759808,172488
99337,-172488,1589392,-2759808,172488
-173689,121905,-2779024,1950480,173689
-44400,174144,-710400,2786304,174144
79437,174808,1270992,2796928,174808
-174888,-56192,-2798208,-899072,174888
175825,16706,2813200,267296,175825
63930,-176850,1022880,-2829600,176850
-43678,-176858,-698848,-2829728,176858
18964,176872,303424,2829952,176872
176913,-57691,2830608,-923056,176913
176965,-149507,2831440,-2392112,176965
17380,-177322,278080,-2837152,177322
67721,-178312,1083536,-2852992,178312
75650,-178397,1210400,-2854352,178397
-178436,97685,-2854976,1562960,178436
-178778,-104867,-2860448,-1677872,178778
179064,-140120,2865024,-2241920,179064
-27321,179086,-437136,2865376,179086
124273,179685,1988368,2874960,179685
-179878,-106802,-2878048,-1708832,179878
-179984,-126424,-2879744,-2022784,179984
-93294,-180548,-1492704,-2888768,180548
181192,-133825,2899072,-2141200,181192
182065,5092,2913040,81472,182065
-182249,-50230,-2915984,-803680,182249
-182249,-50229,-2915984,-803664,182249
182667,-32693,2922672,-523088,182667
-128533,-182919,-2056528,-2926704,182919
-168762,182961,-2700192,2927376,182961
5233,183245,83728,2931920,183245
30226,183719,483616,2939504,183719
183905,-139332,2942480,-2229312,183905
-106119,-185451,-1697904,-2967216,185451
185804,22814,2972864,365024,185804
-186240,49259,-2979840,788144,186240
-186504,-16224,-2984064,-259584,186504
167977,186537,2687632,2984592,186537
-186826,-162810,-2989216,-2604960,186826
187182,-176545,2994912,-2824720,187182
-187244,-14041,-2995904,-224656,187244
-188332,-115801,-3013312,-1852816,188332
188635,-86642,3018160,-1386272,188635
150943,-189893,2415088,-3038288,189893
190127,-156131,3042032,-2498096,190127
-190616,145192,-3049856,2323072,190616
-190978,-91587,-3055648,-1465392,190978
191200,-135490,3059200,-2167840,191200
192085,153587,3073360,2457392,192085
-192946,-68243,-3087136,-1091888,192946
77293,193131,1236688,3090096,193131
193751,-114800,3100016,-1836800,193751
179241,194425,2867856,3110800,194425
-194758,70933,-3116128,1134928,194758
194777,-137238,3116432,-2195808,194777
195233,-89277,3123728,-1428432,195233
59776,-195355,956416,-3125680,195355
-61996,-195371,-991936,-3125936,195371
-61825,196020,-989200,3136320,196020
-196976,174450,-3151616,2791200,196976
-196987,-79691,-3151792,-1275056,196987
-122738,-197093,-1963808,-3153488,197093
197417,-31872,3158672,-509952,197417
-171893,197558,-2750288,3160928,197558
197568,-44286,3161088,-708576,197568
-198509,-135861,-3176144,-2173776,198509
-141346,-199130,-2261536,-3186080,199130
89949,-199611,1439184,-3193776,199611
-38975,200092,-623600,3201472,200092
113898,-200275,1822368,-3204400,200275
200306,-198126,3204896,-3170016,200306
-200408,174518,-3206528,2792288,200408
-200828,179756,-3213248,2876096,200828
116018,201418,1856288,3222688,201418
-201479,-127121,-3223664,-2033936,201479
-202788,-105446,-3244608,-1687136,202788
-203251,175586,-3252016,2809376,203251
-203319,111552,-3253104,1784832,203319
97335,-203580,1557360,-3257280,203580
203923,73338,3262768,1173408,203923
204654,173845,3274464,2781520,204654
204855,34733,3277680,555728,204855
-206232,171030,-3299712,2736480,206232
206491,189454,3303856,3031264,206491
206553,-171049,3304848,-2736784,206553
196993,208210,3151888,3331360,208210
-208850,-38192,-3341600,-611072,208850
-90904,210282,-1454464,3364512,210282
70914,210458,1134624,3367328,210458
-210746,123576,-3371936,1977216,210746
-211297,-31259,-3380752,-500144,211297
211325,-132759,3381200,-2124144,211325
211396,-61560,3382336,-984960,211396
211569,94082,3385104,1505312,211569
38116,211910,609856,3390560,211910
211986,-4014,3391776,-64224,211986
-172558,-212583,-2760928,-3401328,212583
158438,212623,2535008,3401968,212623
-205304,212659,-3284864,3402544,212659
-212741,105552,-3403856,1688832,212741
-213364,85206,-3413824,1363296,213364
20773,213374,332368,3413984,213374
214117,-194684,3425872,-3114944,214117
56892,-214240,910272,-3427840,214240
-215033,11048,-3440528,176768,215033
215435,-44913,3446960,-718608,215435
216656,-34906,3466496,-558496,216656
4026,-217090,64416,-3473440,217090
2601,-217255,41616,-3476080,217255
-219532,15538,-3512512,248608,219532
-184241,219953,-2947856,3519248,219953
-25291,220141,-404656,3522256,220141
-220198,24546,-3523168,392736,220198
220490,-16898,3527840,-270368,220490
-220792,143424,-3532672,2294784,220792
220908,-37936,3534528,-606976,220908
-189512,-221761,-3032192,-3548176,221761
-222687,-174418,-3562992,-2790688,222687
-222719,121339,-3563504,1941424,222719
163750,223438,2620000,3575008,223438
-142830,-223580,-2285280,-3577280,223580
-209897,-223946,-3358352,-3583136,223946
172628,224325,2762048,3589200,224325
-122055,-224508,-1952880,-3592128,224508
-7816,224833,-125056,3597328,224833
195229,224897,3123664,3598352,224897
-181164,225496,-2898624,3607936,225496
163038,225755,2608608,3612080,225755
1604,-225858,25664,-3613728,225858
176748,225946,2827968,3615136,225946
-226826,177706,-3629216,2843296,226826
100775,-226837,1612400,-3629392,226837
227226,-176854,3635616,-2829664,227226
-227365,-57782,-3637840,-924512,227365
-227627,163251,-3642032,2612016,227627
-65209,-227800,-1043344,-3644800,227800
-152604,-227809,-2441664,-3644944,227809
228544,-4972,3656704,-79552,228544
228891,193393,3662256,3094288,228891
-228985,162879,-3663760,2606064,228985
222496,-229040,3559936,-3664640,229040
230017,-130537,3680272,-2088592,230017
-230072,-134873,-3681152,-2157968,230072
-208096,-230302,-3329536,-3684832,230302
230493,-107247,3687888,-1715952,230493
230493,-107248,3687888,-1715968,230493
88341,230713,1413456,3691408,230713
-230831,-59532,-3693296,-952512,230831
-138240,-230997,-2211840,-3695952,230997
231240,-136464,3699840,-2183424,231240
-231258,106990,-3700128,1711840,231258
232235,-216071,3715760,-3457136,232235
67,232534,1072,3720544,232534
-173353,-232839,-2773648,-3725424,232839
146709,232849,2347344,3725584,232849
-88572,-232947,-1417152,-3727152,232947
-232962,155992,-3727392,2495872,232962
-233540,177929,-3736640,2846864,233540
-234324,67301,-3749184,1076816,234324
-6419,-235002,-102704,-3760032,235002
-235098,3669,-3761568,58704,235098
118965,235447,1903440,3767152,235447
143939,-236341,2303024,-3781456,236341
208972,236635,3343552,3786160,236635
-236758,108155,-3788128,1730480,236758
145590,-237306,2329440,-3796896,237306
237632,-97986,3802112,-1567776,237632
237633,-99147,3802128,-1586352,237633
6446,237695,103136,3803120,237695
-178869,237774,-2861904,3804384,237774
-149063,237792,-2385008,3804672,237792
-130776,238074,-2092416,3809184,238074
173212,238171,2771392,3810736,238171
-238365,38424,-3813840,614784,238365
89370,-238619,1429920,-3817904,238619
-190802,238884,-3052832,3822144,238884
-239673,-74348,-3834768,-1189568,239673
-235907,240393,-3774512,3846288,240393
240709,20208,3851344,323328,240709
59355,241941,949680,3871056,241941
242122,213088,3873952,3409408,242122
33663,242333,538608,3877328,242333
242612,231825,3881792,3709200,242612
-243304,-229159,-3892864,-3666544,243304
-39627,-243434,-634032,-3894944,243434
8954,-244087,143264,-3905392,244087
215449,244176,3447184,3906816,244176
-209609,-244868,-3353744,-3917888,244868
-168570,-245338,-2697120,-3925408,245338
88304,-245429,1412864,-3926864,245429
245556,152646,3928896,2442336,245556
-245896,125847,-3934336,2013552,245896
-4428,-245981,-70848,-3935696,245981
-190260,-246887,-3044160,-3950192,246887
63992,247110,1023872,3953760,247110
172464,-249500,2759424,-3992000,249500
249644,-245523,3994304,-3928368,249644
249712,-21350,3995392,-341600,249712
249771,-218785,3996336,-3500560,249771
31054,249823,496864,3997168,249823
-12927,-249977,-206832,-3999632,249977
185412,249995,2966592,3999920,249995
118208,250190,1891328,4003040,250190
79901,-250379,1278416,-4006064,250379
250541,4012,4008656,64192,250541
250939,118490,4015024,1895840,250939
251525,120779,4024400,1932464,251525
5077,251617,81232,4025872,251617
211776,252005,3388416,4032080,252005
88698,252122,1419168,4033952,252122
133612,252465,2137792,4039440,252465
-252819,19742,-4045104,315872,252819
-185015,253319,-2960240,4053104,253319
-226052,253573,-3616832,4057168,253573
130481,-253677,2087696,-4058832,253677
254060,204926,4064960,3278816,254060
120179,254172,1922864,4066752,254172
-202274,-254840,-3236384,-4077440,254840
255299,-55180,4084784,-882880,255299
73518,-255499,1176288,-4087984,255499
201498,-255948,3223968,-4095168,255948
63271,-255971,1012336,-4095536,255971
-256124,-87817,-4097984,-1405072,256124
-212675,256555,-3402800,4104880,256555
34840,-256694,557440,-4107104,256694
6073,256979,97168,4111664,256979
-257014,-206664,-4112224,-3306624,257014
-55073,-257027,-881168,-4112432,257027
-239137,257260,-3826192,4116160,257260
257269,62020,4116304,992320,257269
118766,-257344,1900256,-4117504,257344
257464,-178895,4119424,-2862320,257464
-234740,257930,-3755840,4126880,257930
-96755,-257933,-1548080,-4126928,257933
258017,-104861,4128272,-1677776,258017
258379,92834,4134064,1485344,258379
-258384,-148759,-4134144,-2380144,258384
-258416,-46259,-4134656,-740144,258416
258840,-68304,4141440,-1092864,258840
259967,18533,4159472,296528,259967
-260280,-174317,-4164480,-2789072,260280
-53595,-260449,-857520,-4167184,260449
221712,-261099,3547392,-4177584,261099
-262542,-64870,-4200672,-1037920,262542
-262869,7974,-4205904,127584,262869
67728,-263064,1083648,-4209024,263064
-263087,218524,-4209392,3496384,263087
-140696,263351,-2251136,4213616,263351
263352,540,4213632,8640,263352
-264564,-163248,-4233024,-2611968,264564
-265162,-17095,-4242592,-273520,265162
103909,266257,1662544,4260112,266257
266528,259092,4264448,4145472,266528
-140703,266743,-2251248,4267888,266743
-266924,20193,-4270784,323088,266924
266925,192726,4270800,3083616,266925
-46266,-267138,-740256,-4274208,267138
10046,-267578,160736,-4281248,267578
-267652,243798,-4282432,3900768,267652
13527,-267692,216432,-4283072,267692
267929,155257,4286864,2484112,267929
221316,-269068,3541056,-4305088,269068
221316,-269069,3541056,-4305104,269069
236602,-269391,3785632,-4310256,269391
270385,233497,4326160,3735952,270385
38679,-270408,618864,-4326528,270408
-270524,-237874,-4328384,-3805984,270524
-255960,270626,-4095360,4330016,270626
-235709,271029,-3771344,4336464,271029
271430,-141780,4342880,-2268480,271430
222654,-271657,3562464,-4346512,271657
-85496,-272080,-1367936,-4353280,272080
-223078,272135,-3569248,4354160,272135
57971,-272250,927536,-4356000,272250
273008,153992,4368128,2463872,273008
-64097,-273049,-1025552,-4368784,273049
273201,-79216,4371216,-1267456,273201
-162058,-273346,-2592928,-4373536,273346
51070,-273624,817120,-4377984,273624
-273915,-267312,-4382640,-4276992,273915
-273990,-79364,-4383840,-1269824,273990
-274052,250956,-4384832,4015296,274052
-274726,213753,-4395616,3420048,274726
275263,127445,4404208,2039120,275263
180143,275661,2882288,4410576,275661
64263,-275851,1028208,-4413616,275851
217219,-275935,3475504,-4414960,275935
-182140,276125,-2914240,4418000,276125
276279,-104188,4420464,-1667008,276279
-36617,-276730,-585872,-4427680,276730
276763,-86752,4428208,-1388032,276763
-115036,277800,-1840576,4444800,277800
14532,-277983,232512,-4447728,277983
-278697,149235,-4459152,2387760,278697
13479,278783,215664,4460528,278783
278959,88883,4463344,1422128,278959
78099,-279625,1249584,-4474000,279625
131054,-279926,2096864,-4478816,279926
80738,280012,1291808,4480192,280012
280101,213552,4481616,3416832,280101
-278136,-280169,-4450176,-4482704,280169
-280624,81187,-4489984,1298992,280624
204557,-280987,3272912,-4495792,280987
281108,183596,4497728,2937536,281108
-5498,-281288,-87968,-4500608,281288
-17767,281290,-284272,4500640,281290
-281520,49406,-4504320,790496,281520
-84801,-281766,-1356816,-4508256,281766
-172092,-281843,-2753472,-4509488,281843
281904,221608,4510464,3545728,281904
-226973,-282134,-3631568,-4514144,282134
282328,28628,4517248,458048,282328
224652,282616,3594432,4521856,282616
283174,31146,4530784,498336,283174
-283495,-95033,-4535920,-1520528,283495
283621,-126939,4537936,-2031024,283621
-280728,-283873,-4491648,-4541968,283873
-284417,-143741,-4550672,-2299856,284417
284590,-108158,4553440,-1730528,284590
-284661,-48211,-4554576,-771376,284661
-284816,-17338,-4557056,-277408,284816
285062,22700,4560992,363200,285062
-143673,-285142,-2298768,-4562272,285142
285143,-97176,4562288,-1554816,285143
-285178,36528,-4562848,584448,285178
-272518,285445,-4360288,4567120,285445
195525,-285627,3128400,-4570032,285627
62855,-285709,1005680,-4571344,285709
125800,-286213,2012800,-4579408,286213
12430,-286654,198880,-4586464,286654
-286753,275860,-4588048,4413760,286753
38115,287187,609840,4594992,287187
-287244,-136844,-4595904,-2189504,287244
61616,-287246,985856,-4595936,287246
-140106,-287488,-2241696,-4599808,287488
287570,280672,4601120,4490752,287570
-163484,-287647,-2615744,-4602352,287647
287851,-179437,4605616,-2870992,287851
205919,287980,3294704,4607680,287980
62492,288433,999872,4614928,288433
-155950,288743,-2495200,4619888,288743
236487,-289223,3783792,-4627568,289223
126447,289302,2023152,4628832,289302
290181,-200185,4642896,-3202960,290181
-290185,-76197,-4642960,-1219152,290185
60755,291935,972080,4670960,291935
-288670,-292319,-4618720,-4677104,292319
-292653,-188611,-4682448,-3017776,292653
95802,292806,1532832,4684896,292806
-232893,293753,-3726288,4700048,293753
-293825,240385,-4701200,3846160,293825
-246945,-293961,-3951120,-4703376,293961
294793,192628,4716688,3082048,294793
-99365,295415,-1589840,4726640,295415
-79218,-295699,-1267488,-4731184,295699
-99992,-295799,-1599872,-4732784,295799
-295816,-39577,-4733056,-633232,295816
-295906,-230894,-4734496,-3694304,295906
-296416,-94870,-4742656,-1517920,296416
-135952,-296599,-2175232,-4745584,296599
297511,-94708,4760176,-1515328,297511
84438,297775,1351008,4764400,297775
280150,-297858,4482400,-4765728,297858
298619,-264801,4777904,-4236816,298619
-58111,298725,-929776,4779600,298725
299108,229966,4785728,3679456,299108
-299369,-141574,-4789904,-2265184,299369
117722,299751,1883552,4796016,299751
-300292,-296186,-4804672,-4738976,300292
185425,-300424,2966800,-4806784,300424
-301050,-290180,-4816800,-4642880,301050
-251174,301213,-4018784,4819408,301213
121964,301295,1951424,4820720,301295
-149006,301349,-2384096,4821584,301349
-37889,302382,-606224,4838112,302382
-302616,286010,-4841856,4576160,302616
303038,112500,4848608,1800000,303038
-191820,303359,-3069120,4853744,303359
-303691,-221527,-4859056,-3544432,303691
-303997,-73275,-4863952,-1172400,303997
80386,304131,1286176,4866096,304131
-304190,-187894,-4867040,-3006304,304190
304211,38692,4867376,619072,304211
304475,268487,4871600,4295792,304475
-305044,-37143,-4880704,-594288,305044
-305206,-271879,-4883296,-4350064,305206
-31117,-305306,-497872,-4884896,305306
-305955,-297840,-4895280,-4765440,305955
218232,306355,3491712,4901680,306355
-306645,28336,-4906320,453376,306645
-306731,158863,-4907696,2541808,306731
165255,-307313,2644080,-4917008,307313
-308217,105461,-4931472,1687376,308217
308540,196065,4936640,3137040,308540
-309410,-256599,-4950560,-4105584,309410
-150540,309572,-2408640,4953152,309572
185302,-310009,2964832,-4960144,310009
-310445,-187595,-4967120,-3001520,310445
-310560,170134,-4968960,2722144,310560
-310570,-251633,-4969120,-4026128,310570
-310729,96831,-4971664,1549296,310729
149595,-310921,2393520,-4974736,310921
-311065,-86726,-4977040,-1387616,311065
311219,229363,4979504,3669808,311219
-298466,311264,-4775456,4980224,311264
-311517,21750,-4984272,348000,311517
252457,311684,4039312,4986944,311684
203394,311750,3254304,4988000,311750
-311879,-15906,-4990064,-254496,311879
-311945,-157973,-4991120,-2527568,311945
-77830,312580,-1245280,5001280,312580
312971,229169,5007536,3666704,312971
-313299,-93702,-5012784,-1499232,313299
-13285,-313539,-212560,-5016624,313539
-313612,116495,-5017792,1863920,313612
313738,-196012,5019808,-3136192,313738
313785,278875,5020560,4462000,313785
63181,-313832,1010896,-5021312,313832
-259621,-313833,-4153936,-5021328,313833
-281938,-314025,-4511008,-5024400,314025
-314206,-305884,-5027296,-4894144,314206
109126,314314,1746016,5029024,314314
-314443,3174,-5031088,50784,314443
314458,-244361,5031328,-3909776,314458
314586,295111,5033376,4721776,314586
314730,-70777,5035680,-1132432,314730
37496,315073,599936,5041168,315073
315210,-28838,5043360,-461408,315210
-315210,-56784,-5043360,-908544,315210
-203252,-315274,-3252032,-5044384,315274
260148,-315368,4162368,-5045888,315368
-315599,-231059,-5049584,-3696944,315599
76330,316352,1221280,5061632,316352
316791,-75949,5068656,-1215184,316791
316862,198532,5069792,3176512,316862
317073,84999,5073168,1359984,317073
-282758,-317123,-4524128,-5073968,317123
-317444,170939,-5079104,2735024,317444
231981,-317496,3711696,-5079936,317496
-194689,317653,-3115024,5082448,317653
-318000,-252509,-5088000,-4040144,318000
-318030,106802,-5088480,1708832,318030
318054,-216018,5088864,-3456288,318054
-18787,318281,-300592,5092496,318281
-318324,-214727,-5093184,-3435632,318324
-174160,-318402,-2786560,-5094432,318402
-319077,106885,-5105232,1710160,319077
-319113,177815,-5105808,2845040,319113
319233,-37745,5107728,-603920,319233
140645,319249,2250320,5107984,319249
319279,142162,5108464,2274592,319279
200796,-319364,3212736,-5109824,319364
-293590,-319544,-4697440,-5112704,319544
-319616,207931,-5113856,3326896,319616
101885,-319756,1630160,-5116096,319756
319888,-86667,5118208,-1386672,319888
-59288,-320222,-948608,-5123552,320222
166274,320308,2660384,5124928,320308
320444,176855,5127104,2829680,320444
-261096,-321289,-4177536,-5140624,321289
-176289,-321766,-2820624,-5148256,321766
322245,-76588,5155920,-1225408,322245
-322285,-319828,-5156560,-5117248,322285
322540,160074,5160640,2561184,322540
-8638,-323135,-138208,-5170160,323135
-8638,-323136,-138208,-5170176,323136
-323704,244081,-5179264,3905296,323704
-64395,-323917,-1030320,-5182672,323917
-323951,-46388,-5183216,-742208,323951
-323966,-86980,-5183456,-1391680,323966
324021,224306,5184336,3588896,324021
128917,324043,2062672,5184688,324043
225557,324197,3608912,5187152,324197
-304096,-324205,-4865536,-5187280,324205
324208,-7103,5187328,-113648,324208
-115700,324695,-1851200,5195120,324695
324741,260141,5195856,4162256,324741
-324774,-28230,-5196384,-451680,324774
324874,16641,5197984,266256,324874
164214,-325061,2627424,-5200976,325061
325320,-64849,5205120,-1037584,325320
193728,-325474,3099648,-5207584,325474
325745,98673,5211920,1578768,325745
326042,-84921,5216672,-1358736,326042
-326077,323994,-5217232,5183904,326077
315893,-326285,5054288,-5220560,326285
78229,327574,1251664,5241184,327574
-327786,-308895,-5244576,-4942320,327786
-328040,101103,-5248640,1617648,328040
-328051,-41577,-5248816,-665232,328051
328153,-112620,5250448,-1801920,328153
183747,-328258,2939952,-5252128,328258
313161,-328609,5010576,-5257744,328609
328821,-197087,5261136,-3153392,328821
275760,329034,4412160,5264544,329034
33434,329044,534944,5264704,329044
63302,-329048,1012832,-5264768,329048
-329170,223354,-5266720,3573664,329170
329451,113735,5271216,1819760,329451
-70706,330593,-1131296,5289488,330593
-46515,-330775,-744240,-5292400,330775
180572,-330895,2889152,-5294320,330895
-158197,-331846,-2531152,-5309536,331846
332846,-148441,5325536,-2375056,332846
-332853,-248816,-5325648,-3981056,332853
333333,38995,5333328,623920,333333
-261886,333878,-4190176,5342048,333878
333926,-124244,5342816,-1987904,333926
-333963,-20475,-5343408,-327600,333963
334779,259080,5356464,4145280,334779
-334978,-262968,-5359648,-4207488,334978
-335077,297156,-5361232,4754496,335077
335207,195923,5363312,3134768,335207
335403,-51910,5366448,-830560,335403
64258,-335810,1028128,-5372960,335810
336027,-282432,5376432,-4518912,336027
336058,82903,5376928,1326448,336058
-78297,-336115,-1252752,-5377840,336115
-215295,-336120,-3444720,-5377920,336120
-243560,336490,-3896960,5383840,336490
108953,-336717,1743248,-5387472,336717
-210719,-337202,-3371504,-5395232,337202
-34560,-337458,-552960,-5399328,337458
337624,56761,5401984,908176,337624
337908,-100027,5406528,-1600432,337908
261023,-338643,4176368,-5418288,338643
338780,-57043,5420480,-912688,338780
339160,-154465,5426560,-2471440,339160
-339734,-273112,-5435744,-4369792,339734
-339952,192138,-5439232,3074208,339952
339964,303337,5439424,4853392,339964
-219287,-340647,-3508592,-5450352,340647
-147203,-340841,-2355248,-5453456,340841
341378,-301135,5462048,-4818160,341378
145418,-341430,2326688,-5462880,341430
68973,341734,1103568,5467744,341734
-215590,-342136,-3449440,-5474176,342136
342565,177907,5481040,2846512,342565
342731,-318379,5483696,-5094064,342731
-289418,342986,-4630688,5487776,342986
154883,-343278,2478128,-5492448,343278
